megye,ev,szam
Satu Mare,1995,2646
Satu Mare,1996,2735
Satu Mare,1997,2761
Satu Mare,1998,2594
Satu Mare,1999,2591
Satu Mare,2000,2581
Satu Mare,2001,2464
Satu Mare,2002,2675
Satu Mare,2003,2551
Satu Mare,2005,2491
Satu Mare,2006,2466
Satu Mare,2007,3452
Satu Mare,2008,2561
Satu Mare,2009,2449
Satu Mare,2010,2296
Satu Mare,2011,2085
Satu Mare,2012,2108
Satu Mare,2013,2123
Satu Mare,2014,2112
Satu Mare,2015,2186
Satu Mare,2016,2230
Satu Mare,2017,2265
Satu Mare,2018,2172
Satu Mare,2019,2093
Satu Mare,2020,1303
Satu Mare,2021,1941
Satu Mare,2022,2045
Satu Mare,3004,2696
Sibiu,1990,4223
Sibiu,1991,3752
Sibiu,1992,3426
Sibiu,1993,3098
Sibiu,1994,3036
Sibiu,1995,2924
Sibiu,1996,2894
Sibiu,1997,3066
Sibiu,1998,2946
Sibiu,1999,2963
Sibiu,2000,2759
Sibiu,2001,2740
Sibiu,2002,2567
Sibiu,2003,2659
Sibiu,2005,2795
Sibiu,2006,3033
Sibiu,2007,4019
Sibiu,2008,3121
Sibiu,2009,2899
Sibiu,2010,2571
Sibiu,2011,2347
Sibiu,2012,2453
Sibiu,2013,2416
Sibiu,2014,2646
Sibiu,2015,2851
Sibiu,2016,2893
Sibiu,2017,2850
Sibiu,2018,2795
Sibiu,2019,2731
Sibiu,2020,1634
Sibiu,2021,2190
Sibiu,2022,2328
Sibiu,3004,2870
Suceava,1990,6165
Suceava,1991,6294
Suceava,1992,5989
Suceava,1993,5363
Suceava,1994,5202
Suceava,1995,5356
Suceava,1996,5156
Suceava,1997,5185
Suceava,1998,4984
Suceava,1999,4866
Suceava,2000,4929
Suceava,2001,4786
Suceava,2002,4658
Suceava,2003,4914
Suceava,2005,5015
Suceava,2006,4942
Suceava,2007,5664
Suceava,2008,5170
Suceava,2009,4857
Suceava,2010,4585
Suceava,2011,4308
Suceava,2012,4225
Suceava,2013,4238
Suceava,2014,4907
Suceava,2015,4969
Suceava,2016,5180
Suceava,2017,5274
Suceava,2018,5179
Suceava,2019,5030
Suceava,2020,3393
Suceava,2021,5125
Suceava,2022,4586
Suceava,3004,5318
Teleorman,1990,3586
Teleorman,1991,3472
Teleorman,1992,3288
Teleorman,1993,3330
Teleorman,1994,2919
Teleorman,1995,3020
Teleorman,1996,2717
Teleorman,1997,2584
Teleorman,1998,2551
